group;type;strata;disp;light;height;palatability;longevity;maturity;Soil_contrib;Soil_tol_min;Soil_tol_max;tol;SOIL_CONTRIB;SOIL_MIN;SOIL_MAX
C1_ruderal;C;1;6;7;27;3;27;5;24.172579;1.5;5;2;2.2;1.0;3.3
C2_VaccUli;C;1;4;8;13;3;19;4;20.3363985;0.5;3.5;1;1.8;0.8;2.8
C3_cushion;C;1;1;8;7;0;45;6;17.71806313;0.5;3.5;1;1.6;0.6;2.6
C4_shrubs;C;2;6;6;209;2;158;10;23.88979269;1.5;4.5;2;2.8;1.8;3.8
C5_CallVulg;C;1;6;6;76;0;39;8;12.41510293;1.5;2.5;1;1.8;0.8;2.8
C6_VaccMyrt;C;1;7;6;18;2;92;8;13.51799593;1.5;2.5;1;2.0;1.0;3.0
H1_alpines;H;1;3;8;17;3;11;4;24.34729793;0.5;5;2;1.9;0.9;3.0
H10_megaph;H;1;7;6;100;3;9;4;34.16868867;3;5;3;4.0;2.0;6.0
H2_dryGrass;H;1;6;7;42;3;10;3;26.2238622;1;6;3;3.1;1.8;4.4
H3_coolGrass;H;1;7;7;50;3;9;3;25.77778774;2;6;3;3.5;2.3;4.7
H4_undergrowth;H;1;3;5;76;0;7;4;27.74344182;2.5;4.5;3;3.2;2.2;4.2
H5_poorGrass;H;1;3;7;40;3;7;4;22.83007103;1;4.5;2;2.2;1.2;3.2
H6_megaph;H;1;3;6;73;3;8;4;25.86697693;1.5;4.5;3;3.0;2.0;4.0
H7_rocks;H;1;5;6;19;0;7;4;26.13291027;0.5;4.5;2;2.3;1.3;3.3
H8_notgraz;H;1;3;8;19;0;8;4;35.07710735;1.5;4.5;2;2.1;1.1;3.1
H9_NardStri;H;1;7;8;19;3;9;4;23.95726025;1.5;5;2;2.4;1.1;3.6
P1_ubacPion;P;3;6;6;1175;2;193;15;17.08892277;1;3.5;2;2.5;1.3;3.7
P2_river;P;3;5;6;750;2;177;15;28.67575303;1.5;3.5;2;2.8;1.8;3.8
P3_ubac2;P;4;4;5;1667;2;351;18;26.49615975;2;4;2;3.0;1.8;4.2
P4_larix;P;5;6;7;2500;0;600;15;21.32387753;1.5;2.5;1;2.0;1.0;3.0
P5_alpext;P;5;6;4;2500;2;450;25;18.31702521;2.5;3.5;2;3.0;2.0;4.0
P6_alpint;P;4;4;8;1650;2;160;20;19.76668724;1.5;2.5;1;2.2;1.2;3.2
P7_acer;P;3;4;5;600;2;310;15;26.2011525;2.5;3.5;2;2.5;1.5;3.5
P8_BetAlb;P;3;4;7;800;2;100;15;23.13386976;3;3;2;3.0;2.0;4.0
